artist_id,email_1st_click_campaign_name,deactivated_type,nb_sales,total_bv
1221,INTERNAL_CAMPAIGN_DIRECT_ACCESS,deactivated_selected_no_migration,5,32520
12387,TEMPLATE ARTIST,deactivated_selected_no_migration,3,15657.8304
13043,TEMPLATE ARTIST,deactivated_selected_no_migration,3,15604.4405
5379,INTERNAL_CAMPAIGN_DIRECT_ACCESS,deactivated_selected_no_migration,1,14000
6661,INTERNAL_CAMPAIGN_DIRECT_ACCESS,deactivated_selected_no_migration,3,13255.8804
13925,TEMPLATE ARTIST,deactivated_selected_no_migration,2,11358.79095
8195,ADWORDS_GENERAL,deactivated_selected_no_migration,3,10348.90377
31953,ADWORDS_GENERAL,deactivated_selected_no_migration,1,9790
36242,ADWORDS_GENERAL,deactivated_selected_migrated_churned,4,9756.6195
3253,TEMPLATE ARTIST,deactivated_selected_no_migration,3,9554.99461
9507,INTERNAL_CAMPAIGN_SEA_BRAND,deactivated_selected_no_migration,2,9226.5768
27771,INTERNAL_CAMPAIGN_DIRECT_ACCESS,deactivated_selected_no_migration,3,9010
6251,ADWORDS_GALLERIES_CITIES,deactivated_selected_no_migration,2,8575.274618
27379,INTERNAL_CAMPAIGN_SEO_NON_BRAND_GOOGLE,deactivated_selected_no_migration,1,8500
7483,EMAIL_TRANSACTIONAL_MAO_PARTIAL_ACCEPT,deactivated_selected_no_migration,2,7839.22
2105,INTERNAL_CAMPAIGN_DIRECT_ACCESS,deactivated_selected_migrated_churned,1,7361.59067
636,INTERNAL_CAMPAIGN_SEA_BRAND,deactivated_selected_no_migration,1,7000
4349,ADWORDS_GALLERIES_CITIES,deactivated_selected_no_migration,2,7000
28927,DISPLAY_ADWORDS_PL_HOME_DECO,deactivated_selected_no_migration,2,6884.25
28431,INTERNAL_CAMPAIGN_DIRECT_ACCESS,deactivated_selected_no_migration,2,6723.64576
2009,TEMPLATE ARTIST,deactivated_selected_no_migration,2,6555.69063
16059,INTERNAL_CAMPAIGN_SEA_BRAND,deactivated_selected_no_migration,4,6400
4885,INTERNAL_CAMPAIGN_DIRECT_ACCESS,deactivated_selected_no_migration,1,6332.7864
6325,DISPLAY_ADWORDS_PL_HOME_DECO,deactivated_selected_no_migration,2,6281.270405
25527,INTERNAL_CAMPAIGN_DIRECT_ACCESS,deactivated_selected_no_migration,1,6272.03125
14963,SEO_NON_BRAND_TPL_GALLERY_CITY,deactivated_selected_migrated_churned,2,6160.9808
31251,BING_GENERAL,deactivated_selected_migrated_churned,1,6149.93
548,TEMPLATE ARTIST,deactivated_selected_no_migration,2,6087.055
